Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion
Focused,0.1,support,11,,0.0657627118644067,6.59834866583315,
Focused,0.1,support,12,,0.0657627118644067,6.471783970704641,
Focused,0.1,support,13,,0.0632203389830508,6.00002723618931,
Focused,0.1,support,14,,0.0657627118644067,6.492198272090489,
Focused,0.1,support,15,,0.0657627118644067,6.286142348625299,
Focused,0.1,support,16,,0.0632203389830508,6.35874380305727,
Focused,0.1,support,17,,0.0632203389830508,6.258238454156574,
Focused,0.1,support,18,,0.0632203389830508,5.953526015117183,
Focused,0.1,support,19,,0.0657627118644067,6.139554022800466,
Focused,0.1,support,20,,0.0632203389830508,6.230904687795856,
Focused,0.1,support,21,,0.0632203389830508,6.147838388734393,
Focused,0.1,support,22,,0.0632203389830508,6.116744830770168,
Focused,0.1,support,23,,0.0657627118644067,6.126616155630165,
Focused,0.1,support,24,,0.0657627118644067,6.310409398808956,
Focused,0.1,metabric,0,,0.0479661016949152,22.41115474139582,
Focused,0.1,metabric,1,,0.0454237288135593,23.81141326762776,
Focused,0.1,metabric,2,,0.0505084745762711,24.406042328424903,
Focused,0.1,metabric,3,,0.0505084745762711,23.19082169712511,
Focused,0.1,metabric,4,,0.0479661016949152,21.84410519200961,
Focused,0.1,metabric,5,,0.0479661016949152,23.343128627452664,
Focused,0.1,metabric,6,,0.0505084745762711,25.184455632985063,
Focused,0.1,metabric,7,,0.0530508474576271,23.93861852635799,
Focused,0.1,metabric,8,,0.0428813559322033,22.02164007649653,
Focused,0.1,metabric,9,,0.0479661016949152,25.072497442552,
Focused,0.1,metabric,10,,0.0454237288135593,23.16475820827358,
Focused,0.1,metabric,11,,0.0530508474576271,23.745020190461627,
Focused,0.1,metabric,12,,0.0454237288135593,21.73539736717048,
Focused,0.1,metabric,13,,0.0479661016949152,25.003051948946126,
Focused,0.1,metabric,14,,0.0505084745762711,25.351670138975194,
Focused,0.1,metabric,15,,0.0479661016949152,24.72438966183009,
Focused,0.1,metabric,16,,0.0454237288135593,22.00399991536052,
Focused,0.1,metabric,17,,0.0505084745762711,25.694011937858203,
Focused,0.1,metabric,18,,0.0479661016949152,25.04878974777724,
Focused,0.1,metabric,19,,0.055593220338983,24.408871765230955,
Focused,0.1,metabric,20,,0.0479661016949152,24.26525406835517,
Focused,0.1,metabric,21,,0.0505084745762711,22.85279318429,
Focused,0.1,metabric,22,,0.0479661016949152,24.606313322938757,
Focused,0.1,metabric,23,,0.0505084745762711,25.402749322820807,
Focused,0.1,metabric,24,,0.0479661016949152,24.99605798158222,
Focused,0.1,churn,0,,0.1064406779661017,39.76234674517923,
Focused,0.1,churn,1,,0.1089830508474576,30.81739064872833,
Focused,0.1,churn,2,,0.1038983050847457,477.539156338412,
Focused,0.1,churn,3,,0.0962711864406779,103.17351078151094,
Focused,0.1,churn,4,,0.1013559322033898,2906.9674807113324,
Focused,0.1,churn,5,,0.1140677966101695,79.59992760172558,
Focused,0.1,churn,6,,0.0988135593220339,273.1652143517587,
Focused,0.1,churn,7,,0.0988135593220339,137.430658214207,
Focused,0.1,churn,8,,0.0988135593220339,49.60944760306104,
Focused,0.1,churn,9,,0.0759322033898305,444.2255297379496,
Focused,0.1,churn,10,,0.1064406779661017,138.84223472011894,
Focused,0.1,churn,11,,0.1064406779661017,95.39562501651844,
Focused,0.1,churn,12,,0.1064406779661017,521.6819959830605,
Focused,0.1,churn,13,,0.0733898305084745,155.52706866948,
Focused,0.1,churn,14,,0.1013559322033898,1837.0084437731805,
Focused,0.1,churn,15,,0.0733898305084745,1697.014598778891,
Focused,0.1,churn,16,,0.1115254237288135,49.98452498985408,
Focused,0.1,churn,17,,0.1064406779661017,9746.410195600103,
Focused,0.1,churn,18,,0.0759322033898305,200.1079873709564,
Focused,0.1,churn,19,,0.1013559322033898,2229.7320674741645,
Focused,0.1,churn,20,,0.0911864406779661,191.79950919816147,
Focused,0.1,churn,21,,0.0962711864406779,473.0583710328886,
Focused,0.1,churn,22,,0.093728813559322,145.9508747062675,
Focused,0.1,churn,23,,0.1013559322033898,166.59029262917144,
Focused,0.1,churn,24,,0.0911864406779661,382.4477552892912,
Focused,0.1,tcga,0,,-3.9800000000000004,14.099854071806394,
Focused,0.1,tcga,1,,-3.9800000000000004,10.512998733122554,
Focused,0.1,tcga,2,,-3.9800000000000004,10.512998733122554,
Focused,0.1,tcga,3,,-3.9800000000000004,10.012131876648958,
Focused,0.1,tcga,4,,-3.9800000000000004,10.012131876648958,
Focused,0.1,tcga,5,,-3.9800000000000004,9.967270003600879,
Focused,0.1,tcga,6,,-3.9800000000000004,9.967270003600879,
Focused,0.1,tcga,7,,-3.9800000000000004,11.22116365117008,
Focused,0.1,tcga,8,,-3.9800000000000004,11.22116365117008,
Focused,0.1,tcga,9,,-3.9800000000000004,52.36301257689257,
Focused,0.1,tcga,10,,-3.9800000000000004,52.36301257689257,
Focused,0.1,tcga,11,,-3.9800000000000004,11.421266347835706,
Focused,0.1,tcga,12,,-3.9800000000000004,11.421266347835706,
Focused,0.1,tcga,13,,-3.964745762711864,15.577278638329162,
Focused,0.1,tcga,14,,-3.964745762711864,15.577278638329162,
Focused,0.1,tcga,15,,-3.9800000000000004,9.573293292340649,
Focused,0.1,tcga,16,,-3.9800000000000004,9.573293292340649,
Focused,0.1,tcga,17,,-3.9800000000000004,17.873006270682044,
Focused,0.1,tcga,18,,-3.9800000000000004,17.873006270682044,
Focused,0.1,tcga,19,,-3.9800000000000004,8.647628143465672,
Focused,0.1,tcga,20,,-3.9800000000000004,8.647628143465672,
Focused,0.1,tcga,21,,-3.969830508474576,16.18867572566456,
Focused,0.1,tcga,22,,-3.969830508474576,16.18867572566456,
Focused,0.1,tcga,23,,-3.96728813559322,18.064710912673625,
Focused,0.1,tcga,24,,-3.96728813559322,18.064710912673625,
Focused,0.1,nacd,0,,0.0708474576271186,4.27225670887384,
Focused,0.1,nacd,1,,0.0708474576271186,4.933735660810765,
Focused,0.1,nacd,2,,0.0657627118644067,4.7843500087921305,
Focused,0.1,nacd,3,,0.0733898305084745,4.6882083796169765,
Focused,0.1,nacd,4,,0.0632203389830508,4.52906580251982,
Focused,0.1,nacd,5,,0.0606779661016949,4.525176468024708,
Focused,0.1,nacd,6,,0.0683050847457627,5.001597201101992,
Focused,0.1,nacd,7,,0.0632203389830508,5.187135002677925,
Focused,0.1,nacd,8,,0.0683050847457627,4.874719004817194,
Focused,0.1,nacd,9,,0.0683050847457627,4.746254355520661,
Focused,0.1,nacd,10,,0.0683050847457627,4.903662329782804,
Focused,0.1,nacd,11,,0.0759322033898305,4.7380192694549415,
Focused,0.1,nacd,12,,0.0810169491525423,4.5756422229891935,
Focused,0.1,nacd,13,,0.0632203389830508,4.6712820305232015,
Focused,0.1,nacd,14,,0.0784745762711864,5.126923327668575,
Focused,0.1,nacd,15,,0.0784745762711864,4.636337686929571,
Focused,0.1,nacd,16,,0.0759322033898305,4.591683545889766,
Focused,0.1,nacd,17,,0.0733898305084745,4.44610290267102,
Focused,0.1,nacd,18,,0.0708474576271186,4.871184754724609,
Focused,0.1,nacd,19,,0.0759322033898305,4.810815975655332,
Focused,0.1,nacd,20,,0.0683050847457627,4.67103565797552,
Focused,0.1,nacd,21,,0.0733898305084745,4.529343695854402,
Focused,0.1,nacd,22,,0.0683050847457627,4.208935384838824,
Focused,0.1,nacd,23,,0.0810169491525423,4.89144046899745,
Focused,0.1,nacd,24,,0.0733898305084745,4.863123742907431,
Focused,0.1,gbsg,0,,0.0835593220338983,11.46573683314938,
Focused,0.1,gbsg,1,,0.0810169491525423,10.762116802775482,
Focused,0.1,gbsg,2,,0.0886440677966101,11.470533703342529,
Focused,0.1,gbsg,3,,0.093728813559322,11.919209583896029,
Focused,0.1,gbsg,4,,0.0911864406779661,12.111017878391523,
Focused,0.1,gbsg,5,,0.0810169491525423,11.279341209763858,
Focused,0.1,gbsg,6,,0.0911864406779661,12.73579964434708,
Focused,0.1,gbsg,7,,0.0784745762711864,11.09567518105414,
Focused,0.1,gbsg,8,,0.0886440677966101,12.18202068834472,
Focused,0.1,gbsg,9,,0.0810169491525423,11.412368720220009,
